,Elab,x,Q2,y,obs,target,lepton beam,current,units,value,stat_u,sys_u,*norm_c
211,17.027,0.134,3.718,0.8693,sig_r,p,e,NC,1,0.3092,0.013914,0.001546,0.0064932
212,17.027,0.118,3.341,0.8825,sig_r,p,e,NC,1,0.26325,0.015795,0.0015795,0.00552825
213,17.027,0.105,3.002,0.8943,sig_r,p,e,NC,1,0.29001,0.01189,0.0020301,0.00609021
214,17.027,0.086,2.506,0.9119,sig_r,p,e,NC,1,0.28982,0.024924,0.0023185,0.00608622
215,4.506,0.464,2.009,0.5118,sig_r,p,e,NC,1,0.19107,0.0045857,0.0011464,0.00401247
216,4.506,0.388,1.826,0.5561,sig_r,p,e,NC,1,0.23894,0.0057347,0.0016726,0.00501774
217,4.506,0.324,1.644,0.6005,sig_r,p,e,NC,1,0.27491,0.006048,0.0019244,0.00577311
218,4.506,0.268,1.461,0.6449,sig_r,p,e,NC,1,0.28755,0.0069012,0.0023004,0.00603855
219,4.506,0.219,1.278,0.6893,sig_r,p,e,NC,1,0.28678,0.0063092,0.002581,0.00602238
220,4.506,0.177,1.096,0.7337,sig_r,p,e,NC,1,0.30784,0.0070804,0.0030784,0.00646464
221,4.506,0.139,0.913,0.7781,sig_r,p,e,NC,1,0.28632,0.0071581,0.0028632,0.00601272
222,6.711,0.586,4.08,0.553,sig_r,p,e,NC,1,0.11002,0.0030804,0.0006601,0.00231042
223,6.711,0.503,3.74,0.5902,sig_r,p,e,NC,1,0.15992,0.0046377,0.00079961,0.00335832
224,6.711,0.414,3.315,0.6361,sig_r,p,e,NC,1,0.21075,0.0044257,0.0010537,0.00442575
225,6.711,0.366,3.06,0.6647,sig_r,p,e,NC,1,0.22581,0.0067742,0.0013548,0.00474201
226,6.711,0.319,2.788,0.6938,sig_r,p,e,NC,1,0.26271,0.0055168,0.0015762,0.00551691
227,6.711,0.284,2.57,0.7184,sig_r,p,e,NC,1,0.2812,0.0073112,0.0019684,0.0059052
228,6.711,0.256,2.38,0.7392,sig_r,p,e,NC,1,0.28897,0.0075132,0.0020228,0.00606837
229,6.711,0.233,2.218,0.757,sig_r,p,e,NC,1,0.28795,0.0077747,0.0023036,0.00604695
230,6.711,0.209,2.04,0.7765,sig_r,p,e,NC,1,0.27747,0.0086015,0.0022197,0.00582687
231,6.711,0.188,1.878,0.7942,sig_r,p,e,NC,1,0.30963,0.0092889,0.0027867,0.00650223
232,6.711,0.156,1.618,0.8227,sig_r,p,e,NC,1,0.28704,0.017223,0.0028704,0.00602784
233,6.711,0.127,1.36,0.851,sig_r,p,e,NC,1,0.25707,0.016195,0.0025707,0.00539847
234,8.713,0.711,6.623,0.5695,sig_r,p,e,NC,1,0.041504,0.0016602,0.00041504,0.000871584
235,8.713,0.632,6.183,0.5981,sig_r,p,e,NC,1,0.076533,0.0021429,0.00061226,0.001607193
236,8.713,0.56,5.742,0.6268,sig_r,p,e,NC,1,0.11052,0.0029841,0.00066312,0.00232092
237,8.713,0.494,5.299,0.6556,sig_r,p,e,NC,1,0.15087,0.0039226,0.00075435,0.00316827
238,8.713,0.434,4.857,0.6843,sig_r,p,e,NC,1,0.18815,0.0048918,0.00094073,0.00395115
239,8.713,0.368,4.321,0.7186,sig_r,p,e,NC,1,0.241,0.0045789,0.001205,0.005061
240,8.713,0.332,4.011,0.7392,sig_r,p,e,NC,1,0.25094,0.0065246,0.0015057,0.00526974
241,8.713,0.306,3.777,0.7545,sig_r,p,e,NC,1,0.27602,0.0069005,0.0016561,0.00579642
