,exp,Elab,EP,Theta,target,current,lepton beam,units,obs,x,Q2,W2,Epsilon,Sigma(nb/Ser*Gev),%*stat_u,%*syst,*y,*value
576,jlcee96,4.045,1.315,39.99,d,e,nc,1,sig_r,0.485,2.487,3.515,0.486,4.14,1.88,3.1,0.674907293,0.134
577,jlcee96,4.045,1.325,39.99,d,e,nc,1,sig_r,0.491,2.506,3.477,0.489,4.01,1.91,3.1,0.672435105,0.13
578,jlcee96,4.045,1.335,39.99,d,e,nc,1,sig_r,0.497,2.525,3.439,0.491,4.05,1.91,3.1,0.669962917,0.132
579,jlcee96,4.045,1.345,39.99,d,e,nc,1,sig_r,0.502,2.544,3.402,0.494,3.88,1.36,3.1,0.667490729,0.126
580,jlcee96,4.045,1.355,39.99,d,e,nc,1,sig_r,0.508,2.562,3.364,0.497,3.7,1.22,3.1,0.665018541,0.121
581,jlcee96,4.045,1.365,39.99,d,e,nc,1,sig_r,0.513,2.581,3.326,0.5,3.65,1.23,3.1,0.662546354,0.119
582,jlcee96,4.045,1.375,39.99,d,e,nc,1,sig_r,0.519,2.6,3.289,0.502,3.6,1.24,3.1,0.660074166,0.118
583,jlcee96,4.045,1.385,39.99,d,e,nc,1,sig_r,0.525,2.619,3.251,0.505,3.38,1.28,3.1,0.657601978,0.111
584,jlcee96,4.045,1.395,39.99,d,e,nc,1,sig_r,0.53,2.638,3.213,0.508,3.36,1.28,3.1,0.65512979,0.11
585,jlcee96,4.045,1.405,39.99,d,e,nc,1,sig_r,0.536,2.657,3.176,0.51,3.34,1.62,3.1,0.652657602,0.11
586,jlcee96,4.045,1.415,39.99,d,e,nc,1,sig_r,0.542,2.676,3.138,0.513,3.28,1.66,3.1,0.650185414,0.108
587,jlcee96,4.045,1.425,39.99,d,e,nc,1,sig_r,0.548,2.695,3.1,0.516,3.17,1.68,3.1,0.647713226,0.104
588,jlcee96,4.045,1.435,39.99,d,e,nc,1,sig_r,0.554,2.714,3.063,0.518,3.1,1.69,3.1,0.645241038,0.102
589,jlcee96,4.045,1.445,39.99,d,e,nc,1,sig_r,0.56,2.733,3.025,0.521,3.12,1.7,3.1,0.64276885,0.103
590,jlcee96,4.045,1.455,39.99,d,e,nc,1,sig_r,0.566,2.752,2.987,0.523,3.16,1.68,3.1,0.640296663,0.104
591,jlcee96,4.045,1.465,39.99,d,e,nc,1,sig_r,0.572,2.77,2.95,0.526,2.87,1.75,3.1,0.637824475,0.0951
592,jlcee96,4.045,1.475,39.99,d,e,nc,1,sig_r,0.578,2.789,2.912,0.529,2.94,1.73,3.1,0.635352287,0.0973
593,jlcee96,4.045,1.485,39.99,d,e,nc,1,sig_r,0.585,2.808,2.874,0.531,2.8,1.77,3.1,0.632880099,0.0929
594,jlcee96,4.045,1.495,39.99,d,e,nc,1,sig_r,0.591,2.827,2.837,0.534,2.75,1.79,3.1,0.630407911,0.0914
595,jlcee96,4.045,1.505,39.99,d,e,nc,1,sig_r,0.597,2.846,2.799,0.536,2.63,1.83,3.1,0.627935723,0.0873
596,jlcee96,4.045,1.515,39.99,d,e,nc,1,sig_r,0.603,2.865,2.761,0.539,2.47,1.85,3.1,0.625463535,0.0821
597,jlcee96,4.045,1.535,39.99,d,e,nc,1,sig_r,0.616,2.903,2.686,0.544,2.36,1.33,3.1,0.620519159,0.0785
598,jlcee96,4.045,1.545,39.99,d,e,nc,1,sig_r,0.623,2.922,2.648,0.546,2.28,1.35,3.1,0.618046972,0.0758
599,jlcee96,4.045,1.555,39.99,d,e,nc,1,sig_r,0.629,2.941,2.611,0.549,2.18,1.37,3.1,0.615574784,0.0726
600,jlcee96,4.045,1.565,39.99,d,e,nc,1,sig_r,0.636,2.96,2.573,0.551,2.14,1.38,3.1,0.613102596,0.0712
601,jlcee96,4.045,1.575,39.99,d,e,nc,1,sig_r,0.642,2.978,2.535,0.553,1.97,1.5,3.1,0.610630408,0.0655
602,jlcee96,4.045,1.585,39.99,d,e,nc,1,sig_r,0.649,2.997,2.498,0.556,1.91,1.86,3.1,0.60815822,0.0636
603,jlcee96,4.045,1.595,39.99,d,e,nc,1,sig_r,0.656,3.016,2.46,0.558,1.85,1.88,3.1,0.605686032,0.0619
604,jlcee96,4.045,1.605,39.99,d,e,nc,1,sig_r,0.663,3.035,2.422,0.56,1.84,1.92,3.1,0.603213844,0.0615
605,jlcee96,4.045,1.615,39.99,d,e,nc,1,sig_r,0.67,3.054,2.385,0.563,1.82,1.93,3.1,0.600741656,0.0606
606,jlcee96,4.045,1.625,39.99,d,e,nc,1,sig_r,0.677,3.073,2.347,0.565,1.7,1.96,3.1,0.598269468,0.0566
607,jlcee96,4.045,1.635,39.99,d,e,nc,1,sig_r,0.684,3.092,2.309,0.567,1.71,1.98,3.1,0.595797281,0.0571
608,jlcee96,4.045,1.645,39.99,d,e,nc,1,sig_r,0.691,3.111,2.272,0.57,1.66,1.99,3.1,0.593325093,0.0555
609,jlcee96,4.045,1.655,39.99,d,e,nc,1,sig_r,0.698,3.13,2.234,0.572,1.6,2.02,3.1,0.590852905,0.0535
610,jlcee96,4.045,1.665,39.99,d,e,nc,1,sig_r,0.705,3.149,2.196,0.574,1.52,2.05,3.1,0.588380717,0.0507
611,jlcee96,4.045,1.675,39.99,d,e,nc,1,sig_r,0.712,3.168,2.159,0.577,1.41,2.09,3.1,0.585908529,0.0471
612,jlcee96,4.045,1.685,39.99,d,e,nc,1,sig_r,0.72,3.187,2.121,0.579,1.38,2.11,3.1,0.583436341,0.046
613,jlcee96,4.045,1.695,39.99,d,e,nc,1,sig_r,0.727,3.205,2.083,0.581,1.23,2.17,3.1,0.580964153,0.0408
614,jlcee96,4.045,1.705,39.99,d,e,nc,1,sig_r,0.734,3.224,2.046,0.583,1.21,2.2,3.1,0.578491965,0.0403
615,jlcee96,4.045,1.715,39.99,d,e,nc,1,sig_r,0.742,3.243,2.008,0.585,1.17,2.22,3.1,0.576019778,0.0388
616,jlcee96,4.045,1.735,39.99,d,e,nc,1,sig_r,0.757,3.281,1.932,0.59,1.04,1.41,3.1,0.571075402,0.0346
617,jlcee96,4.045,1.745,39.99,d,e,nc,1,sig_r,0.765,3.3,1.895,0.592,0.942,1.45,3.1,0.568603214,0.0313
618,jlcee96,4.045,1.755,39.99,d,e,nc,1,sig_r,0.772,3.319,1.857,0.594,0.924,1.47,3.1,0.566131026,0.0307
619,jlcee96,4.045,1.765,39.99,d,e,nc,1,sig_r,0.78,3.338,1.819,0.596,0.87,1.49,3.1,0.563658838,0.0289
620,jlcee96,4.045,1.775,39.99,d,e,nc,1,sig_r,0.788,3.357,1.782,0.598,0.821,1.51,3.1,0.56118665,0.0272
621,jlcee96,4.045,1.785,39.99,d,e,nc,1,sig_r,0.796,3.376,1.744,0.6,0.756,1.56,3.1,0.558714462,0.025
622,jlcee96,4.045,1.805,39.99,d,e,nc,1,sig_r,0.812,3.413,1.669,0.605,0.73,1.91,3.1,0.553770087,0.0241
623,jlcee96,4.045,1.815,39.99,d,e,nc,1,sig_r,0.82,3.432,1.631,0.607,0.709,1.98,3.1,0.551297899,0.0234
624,jlcee96,4.045,1.825,39.99,d,e,nc,1,sig_r,0.828,3.451,1.593,0.609,0.701,2.01,3.1,0.548825711,0.0231
625,jlcee96,4.045,1.835,39.99,d,e,nc,1,sig_r,0.837,3.47,1.556,0.611,0.724,2.03,3.1,0.546353523,0.0238
626,jlcee96,4.045,1.845,39.99,d,e,nc,1,sig_r,0.845,3.489,1.518,0.613,0.727,2.07,3.1,0.543881335,0.0239
627,jlcee96,4.045,1.855,39.99,d,e,nc,1,sig_r,0.854,3.508,1.48,0.615,0.702,2.12,3.1,0.541409147,0.0231
628,jlcee96,4.045,1.865,39.99,d,e,nc,1,sig_r,0.862,3.527,1.443,0.617,0.613,2.18,3.1,0.538936959,0.0201
629,jlcee96,4.045,1.875,39.99,d,e,nc,1,sig_r,0.871,3.546,1.405,0.619,0.525,2.23,3.1,0.536464771,0.0172
630,jlcee96,4.045,1.885,39.99,d,e,nc,1,sig_r,0.879,3.565,1.367,0.621,0.371,5.22,3.1,0.533992583,0.0121
631,jlcee96,4.045,1.895,39.99,d,e,nc,1,sig_r,0.888,3.584,1.33,0.623,0.277,5.25,3.1,0.531520396,0.00906
632,jlcee96,4.045,1.905,39.99,d,e,nc,1,sig_r,0.897,3.603,1.292,0.624,0.175,5.31,3.1,0.529048208,0.00572
633,jlcee96,4.045,1.915,39.99,d,e,nc,1,sig_r,0.906,3.621,1.254,0.626,0.117,5.38,3.1,0.52657602,0.00381
634,jlcee96,4.045,1.925,39.99,d,e,nc,1,sig_r,0.915,3.64,1.217,0.628,0.074,5.46,3.1,0.524103832,0.00241
635,jlcee96,4.045,1.935,39.99,d,e,nc,1,sig_r,0.924,3.659,1.179,0.63,0.0349,5.57,3.1,0.521631644,0.00113
636,jlcee96,4.045,0.985,48.0,d,e,nc,1,sig_r,0.459,2.636,3.985,0.357,2.58,2.5,3.1,0.756489493,0.145
637,jlcee96,4.045,0.995,48.0,d,e,nc,1,sig_r,0.465,2.662,3.939,0.359,2.47,2.55,3.1,0.754017305,0.14
638,jlcee96,4.045,1.005,48.0,d,e,nc,1,sig_r,0.471,2.689,3.894,0.362,2.33,2.55,3.1,0.751545117,0.133
639,jlcee96,4.045,1.015,48.0,d,e,nc,1,sig_r,0.478,2.716,3.848,0.365,2.29,2.57,3.1,0.74907293,0.131
640,jlcee96,4.045,1.025,48.0,d,e,nc,1,sig_r,0.484,2.743,3.803,0.368,2.3,2.61,3.1,0.746600742,0.132
641,jlcee96,4.045,1.035,48.0,d,e,nc,1,sig_r,0.49,2.769,3.757,0.371,2.24,2.11,3.1,0.744128554,0.13
642,jlcee96,4.045,1.045,48.0,d,e,nc,1,sig_r,0.497,2.796,3.712,0.374,2.11,1.78,3.1,0.741656366,0.122
643,jlcee96,4.045,1.055,48.0,d,e,nc,1,sig_r,0.503,2.823,3.666,0.377,2.05,1.8,3.1,0.739184178,0.119
644,jlcee96,4.045,1.065,48.0,d,e,nc,1,sig_r,0.51,2.85,3.621,0.38,1.98,1.81,3.1,0.73671199,0.116
645,jlcee96,4.045,1.075,48.0,d,e,nc,1,sig_r,0.516,2.876,3.575,0.383,1.94,1.82,3.1,0.734239802,0.114
646,jlcee96,4.045,1.085,48.0,d,e,nc,1,sig_r,0.523,2.903,3.53,0.386,1.87,1.82,3.1,0.731767614,0.11
647,jlcee96,4.045,1.095,48.0,d,e,nc,1,sig_r,0.529,2.93,3.484,0.389,1.81,1.81,3.1,0.729295426,0.107
648,jlcee96,4.045,1.105,48.0,d,e,nc,1,sig_r,0.536,2.957,3.439,0.391,1.75,1.84,3.1,0.726823239,0.104
649,jlcee96,4.045,1.115,48.0,d,e,nc,1,sig_r,0.543,2.983,3.393,0.394,1.59,2.28,3.1,0.724351051,0.0947
650,jlcee96,4.045,1.125,48.0,d,e,nc,1,sig_r,0.549,3.01,3.348,0.397,1.57,2.29,3.1,0.721878863,0.094
651,jlcee96,4.045,1.135,48.0,d,e,nc,1,sig_r,0.556,3.037,3.302,0.4,1.64,2.34,3.1,0.719406675,0.0989
652,jlcee96,4.045,1.145,48.0,d,e,nc,1,sig_r,0.563,3.064,3.257,0.402,1.49,2.32,3.1,0.716934487,0.0901
653,jlcee96,4.045,1.155,48.0,d,e,nc,1,sig_r,0.57,3.091,3.211,0.405,1.51,2.36,3.1,0.714462299,0.0915
654,jlcee96,4.045,1.165,48.0,d,e,nc,1,sig_r,0.577,3.117,3.166,0.408,1.39,2.4,3.1,0.711990111,0.0846
655,jlcee96,4.045,1.175,48.0,d,e,nc,1,sig_r,0.584,3.144,3.12,0.411,1.42,2.39,3.1,0.709517923,0.0863
656,jlcee96,4.045,1.185,48.0,d,e,nc,1,sig_r,0.591,3.171,3.075,0.413,1.33,2.48,3.1,0.707045735,0.0815
657,jlcee96,4.045,1.195,48.0,d,e,nc,1,sig_r,0.598,3.198,3.029,0.416,1.39,2.49,3.1,0.704573548,0.0851
658,jlcee96,4.045,1.205,48.0,d,e,nc,1,sig_r,0.605,3.224,2.984,0.419,1.27,2.51,3.1,0.70210136,0.0783
659,jlcee96,4.045,1.215,48.0,d,e,nc,1,sig_r,0.612,3.251,2.938,0.421,1.24,2.56,3.1,0.699629172,0.0763
660,jlcee96,4.045,1.225,48.0,d,e,nc,1,sig_r,0.619,3.278,2.892,0.424,1.21,2.57,3.1,0.697156984,0.0748
661,jlcee96,4.045,1.235,48.0,d,e,nc,1,sig_r,0.627,3.305,2.847,0.427,1.16,2.63,3.1,0.694684796,0.0717
662,jlcee96,4.045,1.245,48.0,d,e,nc,1,sig_r,0.634,3.331,2.801,0.429,1.05,2.65,3.1,0.692212608,0.0652
663,jlcee96,4.045,1.255,48.0,d,e,nc,1,sig_r,0.641,3.358,2.756,0.432,1.06,2.69,3.1,0.68974042,0.0663
664,jlcee96,4.045,1.265,48.0,d,e,nc,1,sig_r,0.649,3.385,2.71,0.434,0.98,2.68,3.1,0.687268232,0.0612
665,jlcee96,4.045,1.275,48.0,d,e,nc,1,sig_r,0.656,3.412,2.665,0.437,1.02,2.74,3.1,0.684796044,0.0641
666,jlcee96,4.045,1.285,48.0,d,e,nc,1,sig_r,0.664,3.438,2.619,0.44,0.947,2.32,3.1,0.682323857,0.0594
667,jlcee96,4.045,1.295,48.0,d,e,nc,1,sig_r,0.671,3.465,2.574,0.442,0.854,1.69,3.1,0.679851669,0.0537
668,jlcee96,4.045,1.305,48.0,d,e,nc,1,sig_r,0.679,3.492,2.528,0.445,0.794,1.67,3.1,0.677379481,0.05
669,jlcee96,4.045,1.315,48.0,d,e,nc,1,sig_r,0.687,3.519,2.483,0.447,0.781,1.72,3.1,0.674907293,0.0493
670,jlcee96,4.045,1.325,48.0,d,e,nc,1,sig_r,0.695,3.545,2.437,0.45,0.756,1.72,3.1,0.672435105,0.0478
671,jlcee96,4.045,1.335,48.0,d,e,nc,1,sig_r,0.702,3.572,2.392,0.452,0.742,1.77,3.1,0.669962917,0.047
672,jlcee96,4.045,1.345,48.0,d,e,nc,1,sig_r,0.71,3.599,2.346,0.455,0.693,1.77,3.1,0.667490729,0.044
673,jlcee96,4.045,1.355,48.0,d,e,nc,1,sig_r,0.718,3.626,2.301,0.457,0.677,1.8,3.1,0.665018541,0.043
674,jlcee96,4.045,1.365,48.0,d,e,nc,1,sig_r,0.726,3.652,2.255,0.46,0.625,1.83,3.1,0.662546354,0.0398
675,jlcee96,4.045,1.375,48.0,d,e,nc,1,sig_r,0.734,3.679,2.21,0.462,0.618,1.89,3.1,0.660074166,0.0394
676,jlcee96,4.045,1.385,48.0,d,e,nc,1,sig_r,0.742,3.706,2.164,0.464,0.557,2.2,3.1,0.657601978,0.0356
677,jlcee96,4.045,1.395,48.0,d,e,nc,1,sig_r,0.751,3.733,2.119,0.467,0.527,2.2,3.1,0.65512979,0.0337
678,jlcee96,4.045,1.405,48.0,d,e,nc,1,sig_r,0.759,3.759,2.073,0.469,0.471,2.28,3.1,0.652657602,0.0302
679,jlcee96,4.045,1.415,48.0,d,e,nc,1,sig_r,0.767,3.786,2.028,0.472,0.46,2.32,3.1,0.650185414,0.0295
680,jlcee96,4.045,1.425,48.0,d,e,nc,1,sig_r,0.776,3.813,1.982,0.474,0.415,2.36,3.1,0.647713226,0.0267
681,jlcee96,4.045,1.435,48.0,d,e,nc,1,sig_r,0.784,3.84,1.937,0.476,0.377,2.41,3.1,0.645241038,0.0242
682,jlcee96,4.045,1.445,48.0,d,e,nc,1,sig_r,0.793,3.867,1.891,0.479,0.365,2.49,3.1,0.64276885,0.0235
683,jlcee96,4.045,1.455,48.0,d,e,nc,1,sig_r,0.801,3.893,1.846,0.481,0.331,2.55,3.1,0.640296663,0.0213
684,jlcee96,4.045,1.465,48.0,d,e,nc,1,sig_r,0.81,3.92,1.8,0.483,0.334,2.62,3.1,0.637824475,0.0215
685,jlcee96,4.045,1.475,48.0,d,e,nc,1,sig_r,0.818,3.947,1.755,0.485,0.311,2.69,3.1,0.635352287,0.02
686,jlcee96,4.045,1.485,48.0,d,e,nc,1,sig_r,0.827,3.974,1.709,0.488,0.292,2.85,3.1,0.632880099,0.0189
687,jlcee96,4.045,1.495,48.0,d,e,nc,1,sig_r,0.836,4.0,1.664,0.49,0.302,2.86,3.1,0.630407911,0.0195
688,jlcee96,4.045,1.505,48.0,d,e,nc,1,sig_r,0.845,4.027,1.618,0.492,0.264,3.0,3.1,0.627935723,0.0171
689,jlcee96,4.045,1.515,48.0,d,e,nc,1,sig_r,0.854,4.054,1.572,0.494,0.266,3.08,3.1,0.625463535,0.0172
690,jlcee96,4.045,1.525,48.0,d,e,nc,1,sig_r,0.863,4.081,1.527,0.497,0.243,3.14,3.1,0.622991347,0.0157
691,jlcee96,4.045,1.535,48.0,d,e,nc,1,sig_r,0.872,4.107,1.481,0.499,0.202,3.38,3.1,0.620519159,0.013
692,jlcee96,4.045,1.545,48.0,d,e,nc,1,sig_r,0.881,4.134,1.436,0.501,0.176,3.41,3.1,0.618046972,0.0114
693,jlcee96,4.045,1.555,48.0,d,e,nc,1,sig_r,0.89,4.161,1.39,0.503,0.135,5.85,3.1,0.615574784,0.00876
694,jlcee96,4.045,1.565,48.0,d,e,nc,1,sig_r,0.9,4.188,1.345,0.505,0.0876,5.94,3.1,0.613102596,0.00568
695,jlcee96,4.045,1.575,48.0,d,e,nc,1,sig_r,0.909,4.214,1.299,0.508,0.0532,6.15,3.1,0.610630408,0.00345
696,jlcee96,4.045,1.585,48.0,d,e,nc,1,sig_r,0.919,4.241,1.254,0.51,0.0327,6.39,3.1,0.60815822,0.00212
697,jlcee96,4.045,1.595,48.0,d,e,nc,1,sig_r,0.928,4.268,1.208,0.512,0.0165,6.52,3.1,0.605686032,0.00107
698,jlcee96,4.045,1.605,48.0,d,e,nc,1,sig_r,0.938,4.295,1.163,0.514,0.0106,6.63,3.1,0.603213844,0.000685
