,exp,X,Q2,value,obs,target,lepton beam,current,stat_u,syst_u,*norm_c,%cor1_c,%cor2_c,%cor3_c,%cor4_c,%cor5_c,*Elab,*nu,*E',*sin2(theta/2),*epsilon
109,bcdms,0.18,24.5,0.3032,F2,d,mu,NC,0.005,0,0.009096,-0.4,-0.2,0.2,0.0,0.5,200,72.5538971807629,127.446102819237,0.000240297657774886,0.999517284975059
110,bcdms,0.18,28.0,0.30764,F2,d,mu,NC,0.0047,0,0.0092292,-0.4,-0.1,0.3,0.0,0.5,200,82.9187396351575,117.081260364842,0.000298937677053824,0.999399870708316
111,bcdms,0.18,32.5,0.30751,F2,d,mu,NC,0.0037,0,0.0092253,-0.4,-0.1,0.4,0.0,0.3,200,96.2449656479507,103.755034352049,0.000391547265669597,0.999214467675877
112,bcdms,0.18,37.5,0.29877,F2,d,mu,NC,0.0038,0,0.0089631,-0.3,0.0,-0.2,0.0,0.2,200,111.051883439943,88.9481165600569,0.000526992608869357,0.998943370108871
113,bcdms,0.18,43.0,0.29948,F2,d,mu,NC,0.0038,0,0.0089844,-0.3,0.0,0.1,0.0,0.2,200,127.339493011135,72.6605069888652,0.000739741604173459,0.998517695822528
114,bcdms,0.225,28.0,0.27651,F2,d,mu,NC,0.0044,0,0.0082953,-0.4,-0.1,-0.3,0.0,0.5,200,66.334991708126,133.665008291874,0.000261848635235732,0.999473110082511
115,bcdms,0.225,32.5,0.26586,F2,d,mu,NC,0.0042,0,0.0079758,-0.4,-0.1,0.2,0.0,0.5,200,76.9959725183606,123.004027481639,0.00033027373844376,0.999336053021067
116,bcdms,0.225,37.5,0.26808,F2,d,mu,NC,0.0034,0,0.0080424,-0.4,0.0,-0.1,0.0,0.2,200,88.8415067519545,111.158493248046,0.000421695172634271,0.999152963159774
117,bcdms,0.225,43.0,0.26686,F2,d,mu,NC,0.0033,0,0.0080058,-0.3,0.0,0.3,0.0,0.2,200,101.871594408908,98.1284055910922,0.000547751690004829,0.998900564663064
118,bcdms,0.225,49.5,0.25931,F2,d,mu,NC,0.0034,0,0.0077793,-0.3,0.0,0.5,0.0,0.2,200,117.27078891258,82.7292110874201,0.000747922036082474,0.998499901876893
119,bcdms,0.225,57.0,0.24941,F2,d,mu,NC,0.0044,0,0.0074823,-0.3,0.1,0.3,0.0,0.0,200,135.039090262971,64.9609097370291,0.00109681345733042,0.997801942261461
120,bcdms,0.275,28.0,0.2456,F2,d,mu,NC,0.0046,0,0.007368,-0.4,0.0,0.3,0.0,0.5,200,54.2740841248304,145.72591587517,0.000240176908752328,0.999515198851333
121,bcdms,0.275,32.5,0.23751,F2,d,mu,NC,0.0043,0,0.0071253,-0.3,0.0,-0.4,0.0,0.5,200,62.9967047877496,137.00329521225,0.000296525714487833,0.999402272029429
122,bcdms,0.275,37.5,0.22324,F2,d,mu,NC,0.0033,0,0.0066972,-0.3,0.1,0.0,0.0,0.3,200,72.6885055243264,127.311494475674,0.000368191420523751,0.999258667576034
123,bcdms,0.275,43.0,0.22426,F2,d,mu,NC,0.0032,0,0.0067278,-0.3,0.1,-0.2,0.0,0.2,200,83.349486334561,116.650513665439,0.000460778082419408,0.999073172119568
