,exp,x,Q2,value,stat_u,sys_u,Elab,%*norm_c,target,lepton beam,current,obs
214,bcdms,0.45,43.0,0.09549,0.00521,0.00197,280,3,d,mu_minus,NC,sig_r
215,bcdms,0.45,49.5,0.10062,0.0052,0.00201,280,3,d,mu_minus,NC,sig_r
216,bcdms,0.45,57.0,0.1024,0.00368,0.00133,280,3,d,mu_minus,NC,sig_r
217,bcdms,0.45,65.5,0.09812,0.00366,0.001,280,3,d,mu_minus,NC,sig_r
218,bcdms,0.45,75.0,0.09646,0.00379,0.00088,280,3,d,mu_minus,NC,sig_r
219,bcdms,0.45,86.0,0.09645,0.00389,0.00092,280,3,d,mu_minus,NC,sig_r
220,bcdms,0.45,99.0,0.09914,0.00413,0.00069,280,3,d,mu_minus,NC,sig_r
221,bcdms,0.45,115.5,0.09543,0.00412,0.00078,280,3,d,mu_minus,NC,sig_r
222,bcdms,0.45,137.5,0.08773,0.00485,0.00048,280,3,d,mu_minus,NC,sig_r
223,bcdms,0.45,175.0,0.08977,0.0046,0.00052,280,3,d,mu_minus,NC,sig_r
224,bcdms,0.55,43.0,0.05248,0.00393,0.00178,280,3,d,mu_minus,NC,sig_r
225,bcdms,0.55,49.5,0.05631,0.00429,0.00173,280,3,d,mu_minus,NC,sig_r
226,bcdms,0.55,57.0,0.05488,0.00272,0.00137,280,3,d,mu_minus,NC,sig_r
227,bcdms,0.55,65.5,0.05046,0.00272,0.00109,280,3,d,mu_minus,NC,sig_r
228,bcdms,0.55,75.0,0.05662,0.00311,0.00104,280,3,d,mu_minus,NC,sig_r
229,bcdms,0.55,86.0,0.04721,0.00282,0.00076,280,3,d,mu_minus,NC,sig_r
230,bcdms,0.55,99.0,0.04941,0.00312,0.00068,280,3,d,mu_minus,NC,sig_r
231,bcdms,0.55,115.5,0.04626,0.00305,0.00057,280,3,d,mu_minus,NC,sig_r
232,bcdms,0.55,137.5,0.04294,0.00365,0.00061,280,3,d,mu_minus,NC,sig_r
233,bcdms,0.55,175.0,0.0393,0.00312,0.0004,280,3,d,mu_minus,NC,sig_r
234,bcdms,0.55,230.0,0.04154,0.00459,0.00036,280,3,d,mu_minus,NC,sig_r
235,bcdms,0.65,49.5,0.02536,0.00247,0.00184,280,3,d,mu_minus,NC,sig_r
236,bcdms,0.65,57.0,0.02487,0.00167,0.00149,280,3,d,mu_minus,NC,sig_r
237,bcdms,0.65,65.5,0.02242,0.00166,0.00111,280,3,d,mu_minus,NC,sig_r
