,exp,x,Q2,W2,epsilon,sigma,stat,value,stf2rec_u,obs,target,lepton beam,current,units,%*norm_c
261,e94110,0.921695,4.049,1.225,0.774281,0.008,0.00676,0.000325,0.000275,F2,p,e,NC,1,1.9
262,e94110,0.910917,4.029,1.275,0.772402,0.051,0.01214,0.002085,0.000496,F2,p,e,NC,1,1.9
263,e94110,0.900283,4.009,1.325,0.770503,0.121,0.02001,0.00498,0.000824,F2,p,e,NC,1,1.9
264,e94110,0.88957,3.988,1.375,0.768559,0.336,0.02712,0.01391,0.001123,F2,p,e,NC,1,1.9
265,e94110,0.879586,3.968,1.425,0.76671,0.532,0.02864,0.022117,0.001191,F2,p,e,NC,1,1.9
266,e94110,0.869366,3.948,1.475,0.764754,0.609,0.02645,0.025379,0.001102,F2,p,e,NC,1,1.9
267,e94110,0.859281,3.928,1.525,0.762779,0.576,0.02084,0.02398,0.000868,F2,p,e,NC,1,1.9
268,e94110,0.84911,3.907,1.575,0.760757,0.56,0.017,0.023214,0.000705,F2,p,e,NC,1,1.9
269,e94110,0.839287,3.887,1.625,0.758743,0.571,0.01594,0.023544,0.000657,F2,p,e,NC,1,1.9
270,e94110,0.82959,3.867,1.675,0.756709,0.573,0.01683,0.02352,0.000691,F2,p,e,NC,1,1.9
271,e94110,0.820132,3.846,1.725,0.754718,0.573,0.01831,0.023437,0.000749,F2,p,e,NC,1,1.9
272,e94110,0.810677,3.826,1.775,0.752645,0.608,0.01926,0.024856,0.000787,F2,p,e,NC,1,1.9
273,e94110,0.801341,3.806,1.825,0.750553,0.653,0.02039,0.026731,0.000835,F2,p,e,NC,1,1.9
274,e94110,0.791914,3.785,1.875,0.74841,0.724,0.02251,0.02971,0.000924,F2,p,e,NC,1,1.9
275,e94110,0.782812,3.765,1.925,0.746278,0.793,0.02471,0.032671,0.001018,F2,p,e,NC,1,1.9
276,e94110,0.773823,3.745,1.975,0.744125,0.898,0.02721,0.03719,0.001127,F2,p,e,NC,1,1.9
277,e94110,0.765239,3.725,2.025,0.742049,0.971,0.02975,0.040453,0.001239,F2,p,e,NC,1,1.9
278,e94110,0.75626,3.704,2.075,0.739823,1.159,0.03484,0.048668,0.001463,F2,p,e,NC,1,1.9
279,e94110,0.747594,3.684,2.125,0.737611,1.341,0.04213,0.056877,0.001787,F2,p,e,NC,1,1.9
280,e94110,0.739033,3.664,2.175,0.735379,1.562,0.05093,0.066989,0.002184,F2,p,e,NC,1,1.9
281,e94110,0.730374,3.643,2.225,0.733092,1.801,0.05009,0.077941,0.002168,F2,p,e,NC,1,1.9
