,exp,x,Q2,obs,target,lepton beam,current,units,value,dstat_u,dsys,%dVX_c,%dSM_c,%dRC_c,%dE_c,%dEp_c,%*norm_c
144,nmc,0.11,2.74,sig,d/p,mu_minus,nc,1,0.9292,0.0153,0.0027,0.3,0.0,0.1,0.0,0.1,0.25
145,nmc,0.11,3.49,sig,d/p,mu_minus,nc,1,0.9205,0.0097,0.0022,0.2,-0.1,0.1,0.0,0.1,0.25
146,nmc,0.11,4.47,sig,d/p,mu_minus,nc,1,0.9114,0.0098,0.002,0.2,-0.1,0.0,-0.1,0.1,0.25
147,nmc,0.11,5.46,sig,d/p,mu_minus,nc,1,0.9409,0.0117,0.0018,0.2,-0.1,0.0,0.0,0.1,0.25
148,nmc,0.11,6.9,sig,d/p,mu_minus,nc,1,0.9291,0.0102,0.0017,0.2,0.0,0.0,0.0,0.0,0.25
149,nmc,0.11,8.92,sig,d/p,mu_minus,nc,1,0.9266,0.0127,0.0014,0.1,0.0,0.0,0.0,0.0,0.25
150,nmc,0.11,11.37,sig,d/p,mu_minus,nc,1,0.9263,0.0126,0.0017,0.2,0.0,0.0,0.0,0.0,0.25
151,nmc,0.11,14.85,sig,d/p,mu_minus,nc,1,0.9272,0.013,0.0015,0.2,0.0,0.0,0.0,0.0,0.25
152,nmc,0.11,19.74,sig,d/p,mu_minus,nc,1,0.9123,0.0124,0.0012,0.1,0.0,0.0,0.0,0.0,0.25
153,nmc,0.11,26.52,sig,d/p,mu_minus,nc,1,0.9272,0.0147,0.0011,0.1,0.0,0.0,0.0,0.0,0.25
154,nmc,0.11,35.32,sig,d/p,mu_minus,nc,1,0.905,0.0209,0.0011,0.1,0.0,0.1,0.0,0.0,0.25
155,nmc,0.11,44.94,sig,d/p,mu_minus,nc,1,0.9039,0.0345,0.0019,0.1,0.0,0.2,0.0,0.0,0.25
156,nmc,0.14,1.4,sig,d/p,mu_minus,nc,1,0.914,0.031,0.0037,0.3,0.1,0.1,-0.2,0.2,0.25
157,nmc,0.14,1.75,sig,d/p,mu_minus,nc,1,0.9427,0.0143,0.0036,0.3,0.0,0.1,-0.2,0.2,0.25
158,nmc,0.14,2.24,sig,d/p,mu_minus,nc,1,0.9056,0.0127,0.003,0.3,0.0,0.1,-0.1,0.1,0.25
159,nmc,0.14,2.74,sig,d/p,mu_minus,nc,1,0.9223,0.0125,0.0028,0.3,0.0,0.1,-0.1,0.1,0.25
160,nmc,0.14,3.47,sig,d/p,mu_minus,nc,1,0.8966,0.009,0.0023,0.2,0.0,0.1,-0.1,0.1,0.25
161,nmc,0.14,4.48,sig,d/p,mu_minus,nc,1,0.9132,0.0087,0.0022,0.2,-0.1,0.0,-0.1,0.1,0.25
162,nmc,0.14,5.47,sig,d/p,mu_minus,nc,1,0.9242,0.0095,0.002,0.2,-0.1,0.0,-0.1,0.1,0.25
163,nmc,0.14,6.9,sig,d/p,mu_minus,nc,1,0.9212,0.0081,0.0019,0.2,-0.1,0.0,-0.1,0.1,0.25
164,nmc,0.14,8.92,sig,d/p,mu_minus,nc,1,0.9147,0.01,0.0016,0.1,0.0,0.0,0.0,0.1,0.25
165,nmc,0.14,11.37,sig,d/p,mu_minus,nc,1,0.8981,0.0097,0.0016,0.2,0.0,0.0,0.0,0.0,0.25
166,nmc,0.14,14.84,sig,d/p,mu_minus,nc,1,0.9068,0.0101,0.0017,0.2,0.0,0.0,0.0,0.0,0.25
167,nmc,0.14,19.76,sig,d/p,mu_minus,nc,1,0.9018,0.0098,0.0013,0.1,0.0,0.0,0.0,0.0,0.25
168,nmc,0.14,26.55,sig,d/p,mu_minus,nc,1,0.8924,0.011,0.0011,0.1,0.0,0.0,0.0,0.0,0.25
169,nmc,0.14,35.28,sig,d/p,mu_minus,nc,1,0.905,0.0149,0.0011,0.1,0.0,0.0,0.0,0.0,0.25
170,nmc,0.14,46.95,sig,d/p,mu_minus,nc,1,0.8453,0.0191,0.001,0.1,0.0,0.1,0.0,0.0,0.25
171,nmc,0.18,1.82,sig,d/p,mu_minus,nc,1,0.8859,0.0193,0.0047,0.3,0.3,0.1,-0.2,0.3,0.25
172,nmc,0.18,2.24,sig,d/p,mu_minus,nc,1,0.8781,0.0146,0.0037,0.3,0.1,0.0,-0.2,0.2,0.25
173,nmc,0.18,2.75,sig,d/p,mu_minus,nc,1,0.9173,0.015,0.0033,0.3,0.0,0.0,-0.2,0.2,0.25
174,nmc,0.18,3.47,sig,d/p,mu_minus,nc,1,0.8983,0.0106,0.0027,0.2,-0.1,0.0,-0.1,0.1,0.25
175,nmc,0.18,4.47,sig,d/p,mu_minus,nc,1,0.8811,0.0117,0.0022,0.2,-0.1,0.0,-0.1,0.1,0.25
176,nmc,0.18,5.49,sig,d/p,mu_minus,nc,1,0.9134,0.012,0.0025,0.2,-0.1,0.0,-0.1,0.1,0.25
177,nmc,0.18,6.92,sig,d/p,mu_minus,nc,1,0.8869,0.0093,0.0022,0.2,-0.1,0.0,-0.1,0.1,0.25
178,nmc,0.18,8.93,sig,d/p,mu_minus,nc,1,0.8622,0.0108,0.0018,0.2,-0.1,0.0,-0.1,0.1,0.25
179,nmc,0.18,11.37,sig,d/p,mu_minus,nc,1,0.8676,0.0109,0.0017,0.2,0.0,0.0,-0.1,0.1,0.25
180,nmc,0.18,14.85,sig,d/p,mu_minus,nc,1,0.8787,0.0114,0.0018,0.2,0.0,0.0,-0.1,0.1,0.25
181,nmc,0.18,19.75,sig,d/p,mu_minus,nc,1,0.862,0.0108,0.0014,0.1,0.0,0.0,-0.1,0.1,0.25
182,nmc,0.18,26.61,sig,d/p,mu_minus,nc,1,0.8684,0.0122,0.0013,0.1,0.0,0.0,0.0,0.1,0.25
183,nmc,0.18,35.37,sig,d/p,mu_minus,nc,1,0.8641,0.0153,0.0011,0.1,0.0,0.0,0.0,0.1,0.25
184,nmc,0.18,47.01,sig,d/p,mu_minus,nc,1,0.8715,0.0202,0.001,0.1,0.0,0.0,0.0,0.0,0.25
185,nmc,0.18,63.04,sig,d/p,mu_minus,nc,1,0.897,0.0297,0.0011,0.1,0.0,0.1,0.0,0.0,0.25
186,nmc,0.225,2.28,sig,d/p,mu_minus,nc,1,0.8552,0.0172,0.0055,0.3,0.3,0.0,-0.3,0.3,0.25
187,nmc,0.225,2.74,sig,d/p,mu_minus,nc,1,0.8761,0.0161,0.0044,0.2,0.1,0.0,-0.3,0.3,0.25
188,nmc,0.225,3.48,sig,d/p,mu_minus,nc,1,0.8714,0.0109,0.0032,0.2,0.0,0.0,-0.2,0.2,0.25
